date,open,high,low,close,volume
2020-12-17,106.0,109.93,104.88,108.8,12896430
2020-12-18,107.99,108.8,107.12,107.56,3162130
2020-12-21,107.46,108.8,107.21,108.09,3527340
2020-12-22,107.91,108.2,106.24,107.95,2144380
2020-12-23,107.5,109.12,106.66,108.82,462350
2020-12-24,108.28,108.82,107.6,108.4,398320
2020-12-25,108.38,109.07,107.22,108.88,323150
2020-12-28,108.47,109.88,108.0,109.78,298740
2020-12-29,109.2,111.0,108.9,110.9,280610
2020-12-30,110.21,112.18,110.21,112.0,164290
2020-12-31,111.99,115.01,111.31,112.4,286810
2021-01-04,112.01,113.43,111.21,111.6,182660
2021-01-05,111.51,112.6,110.28,112.04,218890
2021-01-06,111.42,112.25,110.9,111.6,89040
2021-01-07,111.3,111.42,107.5,110.34,461240
2021-01-08,110.1,115.2,108.7,111.44,210920
2021-01-11,110.8,112.2,109.82,110.68,362830
2021-01-12,110.01,111.2,109.69,110.12,275410
2021-01-13,110.12,110.42,108.33,109.6,302950
2021-01-14,109.37,110.3,108.57,110.1,189170
2021-01-15,109.94,110.37,109.19,110.0,90630
2021-01-18,109.95,110.58,109.53,109.91,801540
2021-01-19,109.91,110.36,109.74,109.95,579650
2021-01-20,109.95,110.19,109.65,109.88,211280
2021-01-21,109.88,110.14,109.13,110.0,61360
2021-01-22,110.0,110.0,109.2,109.66,40810
2021-02-01,107.41,107.49,103.62,107.02,497340
2021-02-02,107.08,107.28,105.05,105.97,159470
2021-02-03,105.97,105.97,100.9,102.63,414740
2021-02-04,102.58,108.0,100.19,101.93,356590
2021-02-05,101.93,103.81,101.15,101.84,123450
2021-02-08,101.41,101.56,99.89,100.27,967670
2021-02-09,100.09,100.17,97.45,98.72,832310
2021-02-10,99.2,99.77,98.28,99.68,55000
2021-02-18,99.77,100.79,99.28,99.98,130420
2021-02-19,99.28,103.95,99.28,103.7,73430
2021-02-22,103.4,108.91,102.19,106.55,288430
2021-02-23,105.88,108.16,104.18,105.39,269670
2021-02-24,105.04,108.0,104.31,104.83,130030
2021-02-25,104.99,105.85,104.02,105.1,47940
2021-02-26,104.0,105.79,103.5,105.19,19430
2021-03-01,105.19,108.27,104.01,107.03,143950
2021-03-02,106.61,107.76,106.01,106.38,13640
2021-03-03,106.38,106.7,104.91,105.05,196210
2021-03-04,105.05,105.49,104.02,105.09,66110
2021-03-05,104.37,105.11,104.35,105.02,21920
2021-03-08,104.63,105.65,104.63,105.05,54830
2021-03-09,105.99,105.99,104.18,104.6,36090
2021-03-10,104.6,105.0,103.7,104.07,92610
2021-03-11,104.6,105.1,103.64,104.85,13970
2021-03-12,104.85,106.32,104.68,106.3,48280
2021-03-15,106.29,107.15,106.02,106.55,35200
2021-03-16,106.55,107.49,106.41,107.48,51580
2021-03-17,107.69,107.98,106.28,106.89,95910
2021-03-18,106.89,106.9,105.68,106.75,44140
2021-03-19,106.66,107.5,106.0,106.84,84490
2021-03-22,107.29,108.0,106.82,107.05,171920
2021-03-23,107.5,109.2,107.5,108.74,365340
2021-03-24,108.73,109.55,107.0,107.02,249010
2021-03-25,107.02,107.5,106.01,106.02,335070
2021-03-26,106.5,107.85,106.29,107.1,128530
2021-03-29,107.1,108.21,106.73,107.99,48410
2021-03-30,108.99,109.0,106.61,107.3,489800
2021-03-31,107.3,108.0,106.31,107.3,328680
2021-04-01,107.3,108.12,106.63,108.08,184800
2021-04-02,108.08,108.8,107.38,107.96,68630
2021-04-06,107.07,107.94,106.7,107.57,42630
2021-04-07,107.57,108.4,106.63,108.35,70870
2021-04-08,108.0,108.5,106.87,107.97,145200
2021-04-09,107.54,107.9,106.87,107.58,96600
2021-04-12,107.49,108.69,106.87,107.06,195370
2021-04-13,107.0,108.5,106.89,107.3,97970
2021-04-14,107.11,107.73,107.1,107.31,122220
2021-04-15,107.31,107.89,107.07,107.3,58110
2021-04-16,107.21,107.48,107.11,107.45,24420
2021-04-19,107.21,107.87,107.12,107.69,62250
2021-04-20,107.69,108.35,107.26,107.77,51900
2021-04-21,107.55,108.49,107.5,108.48,33910
2021-04-22,108.8,109.98,108.2,108.35,136680
2021-04-23,108.15,108.9,107.62,108.15,62570
2021-04-26,108.15,108.15,107.7,107.81,72170
2021-04-27,107.55,107.8,107.08,107.56,11010
2021-04-28,107.8,116.25,107.58,110.08,3428040
2021-04-29,109.25,110.3,108.81,109.71,553660
2021-04-30,109.71,110.11,109.25,109.51,172120
2021-05-06,109.08,110.45,109.0,109.87,185050
2021-05-07,110.49,113.0,109.0,109.89,650610
2021-05-10,109.5,111.76,109.32,111.5,127180
2021-05-11,111.41,115.45,111.19,114.51,1105840
2021-05-12,114.53,115.3,113.2,114.5,453170
2021-05-13,114.36,115.27,113.11,113.64,100890
2021-05-14,114.79,116.16,114.0,114.67,469680
2021-05-17,114.68,115.21,113.1,114.03,224160
2021-05-18,114.5,114.5,112.69,113.63,271430
2021-05-19,113.63,114.44,112.32,113.42,272550
2021-05-20,113.43,113.64,111.99,112.6,331800
2021-05-21,112.85,113.4,112.55,113.18,123710
2021-05-24,113.48,114.7,113.01,114.18,76090
2021-05-25,114.18,115.25,113.35,113.95,127250
2021-05-26,113.95,115.88,113.37,114.83,73840
2021-05-27,114.83,115.78,114.44,115.23,189830
2021-05-28,114.67,115.45,114.31,114.6,111090
2021-05-31,114.62,114.64,113.6,114.03,181180
2021-06-01,114.6,115.49,113.53,114.8,113020
2021-06-02,114.8,115.5,113.97,114.81,78490
2021-06-03,114.81,115.77,114.35,115.5,100670
2021-06-04,115.95,120.53,114.66,118.94,487180
2021-06-07,118.94,120.01,117.01,118.39,302500
2021-06-08,118.39,119.0,116.4,117.03,54240
2021-06-09,117.46,117.52,116.03,116.99,92910
2021-06-10,117.42,118.41,116.38,116.94,165080
2021-06-11,116.71,118.96,115.64,116.07,254640
2021-06-15,116.07,117.48,115.4,116.02,100890
2021-06-16,115.93,115.93,114.19,114.63,43490
2021-06-17,114.25,115.77,113.42,114.89,168660
2021-06-18,115.39,115.5,114.17,115.24,31410
2021-06-21,115.98,116.54,115.0,116.01,53690
2021-06-22,116.7,118.22,115.46,116.42,256120
2021-06-23,116.83,117.28,115.02,115.95,34430
2021-06-24,116.4,117.78,115.0,116.47,31540
2021-06-25,116.5,117.01,115.81,116.14,170640
2021-06-28,116.8,116.81,114.99,115.79,117430
2021-06-29,115.99,116.3,114.91,115.78,201310
2021-06-30,115.93,115.93,114.1,115.09,189790
2021-07-01,115.47,115.82,114.2,115.57,91390
2021-07-02,115.31,116.29,114.96,115.74,26240
2021-07-05,115.74,117.0,114.26,116.08,199080
2021-07-06,115.13,118.05,115.13,117.6,56960
2021-07-07,117.04,118.98,117.04,118.88,96810
2021-07-08,118.88,118.92,116.76,118.06,58100
2021-07-09,118.07,120.6,117.01,120.11,531170
2021-07-12,120.9,121.96,118.95,120.4,103520
2021-07-13,120.04,123.66,120.04,121.55,141840
2021-07-14,121.9,121.9,120.53,121.03,120050
2021-07-15,120.49,121.63,120.49,121.09,84680
2021-07-16,121.8,123.0,120.61,122.22,44470
2021-07-19,122.65,125.47,121.02,124.46,108160
2021-07-20,124.3,124.3,121.51,122.35,49330
2021-07-21,124.3,124.8,122.42,123.15,101820
2021-07-22,124.13,124.13,122.23,123.08,34050
2021-07-23,123.09,124.0,122.28,123.22,33600
2021-07-26,123.82,123.82,122.12,122.88,24160
2021-07-27,122.47,123.17,117.25,119.5,119420
2021-07-28,119.51,120.69,116.57,118.45,124930
2021-07-29,118.82,121.7,118.47,120.25,348280
2021-07-30,122.0,122.0,119.08,119.35,20240
2021-08-02,120.42,120.49,118.8,119.75,114270
2021-08-03,120.4,123.51,119.23,120.59,163000
2021-08-04,121.9,122.31,120.89,121.69,269350
2021-08-12,133.0,133.0,118.53,121.11,832330
2021-08-13,121.16,134.11,121.13,126.59,1352510
2021-08-16,126.7,129.53,125.56,125.93,514770
2021-08-17,126.65,128.79,125.01,127.38,565140
2021-08-18,127.41,128.62,125.67,127.57,324120
2021-08-19,128.7,128.7,125.07,125.92,226880
2021-08-20,128.98,129.0,124.4,126.22,186650
2021-08-23,126.23,127.5,125.5,126.99,272650
2021-08-24,128.0,130.41,126.77,128.02,713080
2021-08-25,128.39,130.68,127.37,128.93,285980
2021-08-26,128.3,129.47,127.8,129.0,264740
2021-08-27,129.54,130.75,129.02,129.89,314000
2021-08-30,130.31,131.17,128.55,128.97,108580
2021-08-31,130.48,131.87,127.25,129.11,230270
2021-09-01,129.99,131.8,128.22,129.98,327170
2021-09-02,130.15,134.8,129.61,133.96,310880
2021-09-03,135.05,138.03,133.72,136.36,726300
2021-09-06,137.0,137.96,135.37,136.51,353370
2021-09-07,136.95,137.55,135.18,135.27,404280
2021-09-08,136.9,136.9,134.36,135.95,646240
2021-09-09,136.44,136.76,134.01,134.82,393580
2021-09-10,134.5,136.29,132.99,134.18,390740
2021-09-13,134.18,137.9,133.68,136.75,389350
2021-09-14,137.0,137.0,132.11,132.2,587210
2021-09-15,132.2,133.82,130.55,130.93,323820
2021-09-16,132.0,133.9,131.03,131.51,587620
2021-09-17,132.0,132.08,128.72,131.47,444970
2021-09-22,130.5,133.76,129.72,132.95,558740
2021-09-23,134.55,141.6,133.34,139.84,1042490
2021-09-24,140.53,140.74,132.77,133.5,872760
2021-09-27,133.39,136.21,128.1,130.72,624410
2021-09-28,131.2,132.91,128.2,129.34,507210
2021-09-29,128.5,129.76,124.56,126.0,560360
2021-09-30,127.0,131.25,126.7,130.17,565610
2021-10-08,135.02,142.3,128.67,129.17,2003290
2021-10-11,128.6,130.86,127.16,129.33,1133910
2021-10-12,129.3,132.6,125.46,129.02,1352990
2021-10-13,129.02,129.25,125.62,126.72,581660
2021-10-14,127.0,128.5,125.75,127.02,196530
2021-10-15,127.4,127.75,126.21,127.02,203830
2021-10-18,126.75,129.31,126.75,129.21,128850
2021-10-19,128.32,129.5,127.1,129.25,218770
2021-10-20,129.12,129.64,128.15,129.01,139880
2021-10-21,129.48,129.48,127.71,128.97,186530
2021-10-22,129.16,129.64,127.12,127.42,116870
2021-10-25,127.56,128.94,127.25,128.48,239280
2021-10-26,128.91,132.16,128.21,131.94,1112860
2021-10-27,131.81,132.33,129.7,130.12,652610
2021-10-28,130.59,132.98,128.97,132.78,1064320
2021-10-29,132.01,132.8,130.44,132.37,360350
2021-11-01,131.5,132.47,130.8,131.51,138730
2021-11-02,131.97,134.58,130.04,131.5,461480
2021-11-03,132.0,133.0,131.19,132.66,279220
2021-11-04,132.68,133.77,131.81,131.95,198520
2021-11-05,132.4,132.4,129.74,130.17,149090
2021-11-08,130.92,135.17,130.51,134.88,629100
2021-11-09,133.81,136.82,132.51,133.59,293160
2021-11-10,134.6,134.6,132.6,133.89,138310
2021-11-11,134.21,135.27,133.0,134.37,71320
2021-11-12,134.95,135.35,132.95,133.26,137080
2021-11-15,134.2,134.2,132.15,132.69,431860
2021-11-16,133.1,133.1,131.49,131.6,113170
2021-11-17,132.23,132.8,131.27,131.28,115400
2021-11-18,131.23,132.54,129.05,130.41,181950
2021-11-19,130.51,133.88,130.35,133.14,308680
2021-11-22,133.0,134.7,131.51,131.57,416110
2021-11-23,132.29,134.31,131.21,133.41,316060
2021-11-24,134.61,134.62,132.65,133.4,126420
2021-11-25,133.69,133.84,131.38,132.8,185660
2021-11-26,132.8,135.18,132.3,134.78,417320
2021-11-29,134.78,135.93,133.05,135.6,121850
2021-11-30,135.67,136.82,133.59,134.88,280950
2021-12-01,134.83,136.48,133.01,134.77,286830
2021-12-02,135.98,136.9,134.3,135.76,218710
2021-12-03,136.3,138.5,135.0,137.85,217960
2021-12-06,138.62,139.52,136.04,136.77,261590
2021-12-07,136.7,137.77,131.3,133.99,629460
2021-12-08,133.98,135.12,133.04,133.6,157020
2021-12-09,133.98,135.77,133.07,135.59,158540
2021-12-10,134.67,136.0,134.0,135.36,86850
2021-12-13,135.55,135.88,133.85,135.34,172890
2021-12-14,135.46,135.84,133.4,133.74,128690
2021-12-15,133.69,135.1,133.2,133.87,51970
2021-12-16,134.52,134.88,133.56,134.4,79050
2021-12-17,134.4,135.6,134.28,134.58,63260
2021-12-20,135.75,136.01,133.97,134.34,155210
2021-12-21,134.49,135.52,133.4,134.95,141610
2021-12-22,135.21,135.95,134.0,134.6,115320
2021-12-23,134.51,137.75,133.18,136.68,206620
2021-12-24,136.68,137.69,135.07,136.58,84470
2021-12-27,136.09,137.49,135.35,136.46,234330
2021-12-28,136.2,137.27,135.2,136.91,171220
2021-12-29,137.1,137.29,135.75,136.1,39740
2021-12-30,136.5,136.79,135.2,136.18,38170
2021-12-31,137.0,139.19,136.21,138.39,101080
2022-01-04,139.63,147.82,138.4,142.96,778680
2022-01-05,142.15,153.93,141.1,144.2,759180
2022-01-06,142.6,146.87,141.47,144.34,200860
2022-01-07,144.6,149.58,144.6,144.87,279100
2022-01-10,144.66,148.4,144.34,145.2,622510
2022-01-11,144.98,146.24,143.91,144.2,206400
