date,open,high,low,close,volume
2025-01-09,111.0,111.76,108.11,108.666,5553008
2025-01-10,109.0,109.333,108.593,108.656,1434475
2025-01-13,108.651,109.468,107.526,108.82,1415616
2025-01-14,108.85,110.777,108.85,110.6,1317372
2025-01-15,110.4,114.527,110.4,113.888,2025929
2025-01-16,113.786,115.059,112.3,112.646,670700
2025-01-17,112.4,118.461,112.05,115.779,2687706
2025-01-20,115.761,116.023,114.051,114.269,615853
2025-01-21,114.268,115.235,113.816,114.35,502272
2025-01-22,114.36,114.474,113.325,113.626,320522
2025-01-23,113.791,115.88,113.791,115.229,661533
2025-01-24,115.133,117.753,114.912,116.666,538045
2025-01-27,116.531,117.76,115.366,115.5,201872
2025-02-05,116.558,116.558,115.666,116.3,129034
2025-02-06,116.178,117.29,116.11,117.101,107540
2025-02-07,117.112,118.288,117.101,117.715,200097
2025-02-10,117.715,118.741,117.593,118.505,187063
2025-02-11,118.55,118.69,117.428,117.66,130585
2025-02-12,117.101,117.778,117.06,117.5,99893
2025-02-13,117.002,117.888,116.808,116.9,108703
2025-02-14,116.85,119.8,116.85,119.021,434045
2025-02-17,119.003,120.737,118.252,118.603,319073
2025-02-18,118.786,118.999,116.3,116.322,202700
2025-02-19,116.7,117.15,115.931,116.966,111302
2025-02-20,116.801,119.2,116.801,118.855,358977
2025-02-21,118.855,119.336,118.25,118.644,156676
2025-02-24,118.644,118.681,117.249,117.295,203190
2025-02-25,117.295,117.295,116.25,116.36,210646
2025-02-26,116.774,117.098,116.3,116.698,119837
2025-02-27,116.773,117.024,115.5,116.323,182165
2025-02-28,116.315,116.562,115.127,115.28,177364
2025-03-03,115.399,116.349,114.68,115.102,152180
2025-03-04,115.1,115.6,114.61,115.39,80323
2025-03-05,115.324,115.49,114.0,115.31,113590
2025-03-06,115.31,116.86,115.31,116.551,240954
2025-03-07,116.552,116.808,116.057,116.58,199183
2025-03-10,117.368,119.553,117.368,118.456,548142
2025-03-11,118.308,118.566,116.4,116.928,177657
2025-03-12,117.159,117.779,116.64,117.35,164604
2025-03-13,117.211,117.8,115.932,116.53,242027
2025-03-14,116.7,119.35,116.13,118.742,573019
2025-03-17,118.8,119.202,118.001,118.784,244139
2025-03-18,118.784,119.222,118.408,118.553,87747
2025-03-19,118.5,118.649,117.258,117.47,120709
2025-03-20,117.47,117.57,116.223,116.26,198949
2025-03-21,116.261,116.788,114.45,114.888,280667
2025-03-24,115.0,115.0,111.701,113.2,336242
2025-03-25,113.188,114.2,112.65,113.648,165535
2025-03-26,113.6,115.68,113.585,115.366,201177
2025-03-27,115.11,115.365,114.231,115.05,182430
2025-03-28,114.811,115.453,114.2,114.888,144445
2025-03-31,114.25,114.5,112.606,113.487,135394
2025-04-01,113.05,117.179,113.05,116.2,613638
2025-04-02,116.199,116.888,115.803,116.516,186182
2025-04-03,116.192,117.619,116.05,117.501,235255
2025-04-07,116.4,116.4,110.51,110.688,400804
2025-04-08,111.5,113.0,110.861,112.6,225133
2025-04-09,111.51,115.776,110.08,115.59,406385
2025-04-10,115.591,119.824,115.09,118.599,592676
2025-04-11,117.851,118.974,116.65,117.667,92655
2025-04-14,117.666,118.78,117.664,118.008,99587
2025-04-15,117.85,118.46,115.846,116.021,410484
2025-04-16,115.852,116.299,114.47,114.985,162536
2025-04-17,114.46,116.0,114.46,115.563,172610
2025-04-18,115.565,116.38,114.636,115.44,154043
2025-04-21,115.38,115.81,114.9,115.57,76118
2025-04-22,115.801,117.101,115.4,116.522,110416
2025-04-23,116.522,117.979,116.45,117.825,88096
2025-04-24,117.589,121.084,117.589,119.221,598158
2025-04-25,119.0,122.5,119.0,122.25,866431
2025-04-28,122.25,138.0,121.348,125.579,4832282
2025-04-29,125.0,125.887,123.1,123.4,686956
2025-04-30,123.994,124.251,121.3,123.3,439677
2025-05-06,123.8,124.597,122.643,122.923,260642
2025-05-07,124.48,124.6,122.154,122.8,345923
2025-05-08,122.49,126.0,121.75,125.5,301452
2025-05-09,124.873,136.964,123.15,127.099,2638965
2025-05-12,126.4,129.6,126.4,128.78,867490
2025-05-13,128.806,131.99,128.116,128.598,1091291
2025-05-14,128.598,132.826,127.925,128.223,1248943
2025-05-15,128.223,129.301,127.338,127.8,414942
2025-05-16,128.0,128.799,126.25,126.458,374608
2025-05-19,126.59,128.5,125.219,127.8,463007
2025-05-20,128.036,129.16,127.128,128.62,239768
2025-05-21,128.619,128.84,126.758,127.45,198145
2025-05-22,127.76,128.891,127.011,127.388,260911
2025-05-23,127.389,128.973,126.677,128.0,238692
2025-05-26,128.0,131.12,127.468,129.0,298600
2025-05-27,129.261,130.0,127.66,129.2,229276
2025-05-28,130.0,131.589,126.151,127.33,498502
2025-05-29,127.63,129.246,127.63,128.022,385179
2025-05-30,128.141,128.465,126.538,127.0,184679
2025-06-03,127.61,128.27,126.5,127.19,353967
2025-06-04,127.256,128.649,126.768,128.151,237714
2025-06-05,128.63,128.8,127.327,127.5,209331
2025-06-06,127.163,129.26,127.163,128.724,155204
2025-06-09,128.651,130.0,128.308,129.576,104549
2025-06-10,129.576,130.0,127.271,127.799,210539
2025-06-11,127.799,128.673,127.324,127.533,174843
